α,Метод,Финальная точность,Лучшая точность,Финальный Loss,Раундов до 80%,Раундов до 90%,Всего раундов
0.1,FedAvg,0.9857,0.9878,0.0563,5,9,50
0.1,FedProx (μ=0.01),0.9892,0.9892,0.0385,3,4,50
0.1,Adaptive FedProx,0.9043,0.9846,0.3956,5,7,50
0.5,FedAvg,0.9900,0.9916,0.0368,1,2,20
0.5,FedProx (μ=0.01),0.9901,0.9901,0.0354,1,1,20
0.5,Adaptive FedProx,0.9834,0.9883,0.0529,1,2,20
1.0,FedAvg,0.9927,0.9927,0.0238,1,1,20
1.0,FedProx (μ=0.01),0.9910,0.9925,0.0288,1,1,20
1.0,Adaptive FedProx,0.9892,0.9893,0.0305,1,1,20
10.0,FedAvg,0.9932,0.9932,0.0224,1,1,20
10.0,FedProx (μ=0.01),0.9930,0.9930,0.0229,1,1,20
10.0,Adaptive FedProx,0.9914,0.9914,0.0264,1,1,20
